year,age,sex,smoking,vaping
2033,56,male,0.0472907039309332,0.0526640802673868
2033,57,male,0.0463896845836895,0.0441702354619136
2033,58,male,0.0455050122018633,0.0372835968905691
2033,59,male,0.0446364212250331,0.0320041645533535
2033,60,male,0.0437836492284329,0.0283319384502666
2033,61,male,0.0413846173195623,0.0346638824540298
2033,62,male,0.0391116586300227,0.0327296795668539
2033,63,male,0.0369587241661478,0.0316644882876334
2033,64,male,0.0349199929892644,0.0314683086163685
2033,65,male,0.0329898706110257,0.0322831242996136
2033,66,male,0.0308889380966303,0.0335008160133236
2033,67,male,0.0289178006392889,0.0336931411050493
2033,68,male,0.0270689353510745,0.0333898906895103
2033,69,male,0.0253351936358521,0.0325910647667066
2033,70,male,0.0237097904698823,0.0312966633366381
2033,71,male,0.0215233085635023,0.0263654385194204
2033,72,male,0.0195344263301098,0.0246321933943625
2033,73,male,0.0177259992654463,0.02267952642181
2033,74,male,0.0160822437910747,0.0205074376017628
2033,75,male,0.0145886521042842,0.0176212873381915
2033,76,male,0.0132259018900312,0.0132550672881805
2033,77,male,0.0119888996936852,0.0108188952613987
2033,78,male,0.0108663187461753,0.0087624363065305
2033,79,male,0.0098478030043093,0.0070856904235759
2033,80,male,0.0089238929172179,0.005788657612535
2033,81,male,0.0086497824119168,0.0067574771863701
2033,82,male,0.0083840203876079,0.0058882416289654
2033,83,male,0.0081263568890346,0.0052329046983787
2033,84,male,0.0078765491835387,0.0047914663946102
2033,85,male,0.007634361568261,0.0043590637625516
2033,86,male,0.0073995651815016,0.0035710124337169
2033,87,male,0.0071719378182155,0.0030960264789879
2033,88,male,0.006951263749612,0.0026613458025209
2033,89,male,0.0067373335468259,0.0022669704043159
2033,90,male,0.0065299439086191,0.001912900284373
2033,91,male,0.0063288974930734,0.001599135442692
2033,92,male,0.0061340027532257,0.0013256758792731
2033,93,male,0.0059450737765999,0.0010925215941161
2033,94,male,0.0057619301285828,0.0008996725872212
2033,95,male,0.00558439669959,0.0007471288585882
2033,96,male,0.0054123035559682,0.0006348904082173
2033,97,male,0.005245485794574,0.0005629572361084
2033,98,male,0.0050837834009721,0.0005313293422614
2033,99,male,0.0049270411111922,0.0005400067266765
2033,100,male,0.0047751082769827,0.0005056118830274
2033,101,male,0.0046278387344995,0.0003715985093424
2033,102,male,0.0044850906763671,0.0003018898060227
2033,103,male,0.0043467265270469,0.0002478879393458
